datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr
2/1/2026 5:00:00 AM,2/1/2026 12:00:00 AM,1,PJM-RTO,,,ZONE,,282.24,308.790480,22.237212,4.313268,True,1
2/1/2026 6:00:00 AM,2/1/2026 1:00:00 AM,1,PJM-RTO,,,ZONE,,252.85,277.338470,21.737321,2.751148,True,1
2/1/2026 7:00:00 AM,2/1/2026 2:00:00 AM,1,PJM-RTO,,,ZONE,,255.55,281.548849,23.369730,2.629119,True,1
2/1/2026 8:00:00 AM,2/1/2026 3:00:00 AM,1,PJM-RTO,,,ZONE,,269.44,299.959896,27.559881,2.960015,True,1
2/1/2026 9:00:00 AM,2/1/2026 4:00:00 AM,1,PJM-RTO,,,ZONE,,265.33,293.274717,25.010194,2.934523,True,1
2/1/2026 10:00:00 AM,2/1/2026 5:00:00 AM,1,PJM-RTO,,,ZONE,,256.82,286.839271,26.942765,3.076507,True,1
2/1/2026 11:00:00 AM,2/1/2026 6:00:00 AM,1,PJM-RTO,,,ZONE,,292.96,326.424183,29.811427,3.652757,True,1
2/1/2026 12:00:00 PM,2/1/2026 7:00:00 AM,1,PJM-RTO,,,ZONE,,398.29,455.576515,52.947126,4.339389,True,1
2/1/2026 1:00:00 PM,2/1/2026 8:00:00 AM,1,PJM-RTO,,,ZONE,,274.47,303.154564,25.348387,3.336177,True,1
2/1/2026 2:00:00 PM,2/1/2026 9:00:00 AM,1,PJM-RTO,,,ZONE,,266.12,285.907910,17.030697,2.757213,True,1
2/1/2026 3:00:00 PM,2/1/2026 10:00:00 AM,1,PJM-RTO,,,ZONE,,175.62,193.321421,15.779905,1.921515,True,1
2/1/2026 4:00:00 PM,2/1/2026 11:00:00 AM,1,PJM-RTO,,,ZONE,,165.80,181.040284,13.544521,1.695763,True,1
2/1/2026 5:00:00 PM,2/1/2026 12:00:00 PM,1,PJM-RTO,,,ZONE,,129.67,141.429479,10.422125,1.337354,True,1
2/1/2026 6:00:00 PM,2/1/2026 1:00:00 PM,1,PJM-RTO,,,ZONE,,106.76,115.936060,8.102115,1.073945,True,1
2/1/2026 7:00:00 PM,2/1/2026 2:00:00 PM,1,PJM-RTO,,,ZONE,,104.41,111.658936,6.209308,1.039627,True,1
2/1/2026 8:00:00 PM,2/1/2026 3:00:00 PM,1,PJM-RTO,,,ZONE,,107.06,115.919179,7.900667,0.958512,True,1
2/1/2026 9:00:00 PM,2/1/2026 4:00:00 PM,1,PJM-RTO,,,ZONE,,133.75,146.432762,11.312902,1.369860,True,1
2/1/2026 10:00:00 PM,2/1/2026 5:00:00 PM,1,PJM-RTO,,,ZONE,,232.09,258.647556,24.266985,2.290571,True,1
2/1/2026 11:00:00 PM,2/1/2026 6:00:00 PM,1,PJM-RTO,,,ZONE,,229.54,257.957069,26.099167,2.317902,True,1
2/2/2026 12:00:00 AM,2/1/2026 7:00:00 PM,1,PJM-RTO,,,ZONE,,222.27,246.013461,21.606646,2.136815,True,1
2/2/2026 1:00:00 AM,2/1/2026 8:00:00 PM,1,PJM-RTO,,,ZONE,,258.07,300.229269,39.733951,2.425318,True,1
