datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
2/21/2026 5:00:00 AM,2/21/2026 12:00:00 AM,Coal,14254,0.149,False
2/21/2026 5:00:00 AM,2/21/2026 12:00:00 AM,Gas,41577,0.436,False
2/21/2026 5:00:00 AM,2/21/2026 12:00:00 AM,Hydro,591,0.006,True
2/21/2026 5:00:00 AM,2/21/2026 12:00:00 AM,Multiple Fuels,1080,0.011,False
2/21/2026 5:00:00 AM,2/21/2026 12:00:00 AM,Nuclear,31483,0.330,False
2/21/2026 5:00:00 AM,2/21/2026 12:00:00 AM,Oil,175,0.001,False
2/21/2026 5:00:00 AM,2/21/2026 12:00:00 AM,Other Renewables,534,0.005,True
2/21/2026 5:00:00 AM,2/21/2026 12:00:00 AM,Solar,5,0.000,True
2/21/2026 5:00:00 AM,2/21/2026 12:00:00 AM,Storage,0,0.000,False
2/21/2026 5:00:00 AM,2/21/2026 12:00:00 AM,Wind,5650,0.059,True
2/21/2026 4:00:00 AM,2/20/2026 11:00:00 PM,Coal,14082,0.145,False
2/21/2026 4:00:00 AM,2/20/2026 11:00:00 PM,Gas,41509,0.429,False
2/21/2026 4:00:00 AM,2/20/2026 11:00:00 PM,Hydro,702,0.007,True
2/21/2026 4:00:00 AM,2/20/2026 11:00:00 PM,Multiple Fuels,1179,0.012,False
2/21/2026 4:00:00 AM,2/20/2026 11:00:00 PM,Nuclear,31485,0.325,False
2/21/2026 4:00:00 AM,2/20/2026 11:00:00 PM,Oil,769,0.008,False
2/21/2026 4:00:00 AM,2/20/2026 11:00:00 PM,Other Renewables,540,0.005,True
2/21/2026 4:00:00 AM,2/20/2026 11:00:00 PM,Solar,5,0.000,True
2/21/2026 4:00:00 AM,2/20/2026 11:00:00 PM,Storage,0,0.000,False
2/21/2026 4:00:00 AM,2/20/2026 11:00:00 PM,Wind,6357,0.065,True
2/21/2026 3:00:00 AM,2/20/2026 10:00:00 PM,Coal,14750,0.148,False
2/21/2026 3:00:00 AM,2/20/2026 10:00:00 PM,Gas,42374,0.426,False
2/21/2026 3:00:00 AM,2/20/2026 10:00:00 PM,Hydro,1164,0.011,True
2/21/2026 3:00:00 AM,2/20/2026 10:00:00 PM,Multiple Fuels,1308,0.013,False
2/21/2026 3:00:00 AM,2/20/2026 10:00:00 PM,Nuclear,31484,0.317,False
2/21/2026 3:00:00 AM,2/20/2026 10:00:00 PM,Oil,769,0.007,False
2/21/2026 3:00:00 AM,2/20/2026 10:00:00 PM,Other Renewables,538,0.005,True
2/21/2026 3:00:00 AM,2/20/2026 10:00:00 PM,Solar,5,0.000,True
2/21/2026 3:00:00 AM,2/20/2026 10:00:00 PM,Storage,0,0.000,False
2/21/2026 3:00:00 AM,2/20/2026 10:00:00 PM,Wind,6911,0.069,True
2/21/2026 2:00:00 AM,2/20/2026 9:00:00 PM,Coal,15296,0.149,False
2/21/2026 2:00:00 AM,2/20/2026 9:00:00 PM,Gas,43698,0.426,False
2/21/2026 2:00:00 AM,2/20/2026 9:00:00 PM,Hydro,2051,0.020,True
2/21/2026 2:00:00 AM,2/20/2026 9:00:00 PM,Multiple Fuels,1366,0.013,False
2/21/2026 2:00:00 AM,2/20/2026 9:00:00 PM,Nuclear,31483,0.307,False
2/21/2026 2:00:00 AM,2/20/2026 9:00:00 PM,Oil,762,0.007,False
2/21/2026 2:00:00 AM,2/20/2026 9:00:00 PM,Other Renewables,538,0.005,True
2/21/2026 2:00:00 AM,2/20/2026 9:00:00 PM,Solar,5,0.000,True
2/21/2026 2:00:00 AM,2/20/2026 9:00:00 PM,Storage,0,0.000,False
