datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
2/1/2026 5:00:00 AM,2/1/2026 12:00:00 AM,RTO,RTO,RTO,RTO,121381.303,False
2/1/2026 6:00:00 AM,2/1/2026 1:00:00 AM,RTO,RTO,RTO,RTO,120676.164,False
2/1/2026 7:00:00 AM,2/1/2026 2:00:00 AM,RTO,RTO,RTO,RTO,120267.136,False
2/1/2026 8:00:00 AM,2/1/2026 3:00:00 AM,RTO,RTO,RTO,RTO,120356.601,False
2/1/2026 9:00:00 AM,2/1/2026 4:00:00 AM,RTO,RTO,RTO,RTO,121026.425,False
2/1/2026 10:00:00 AM,2/1/2026 5:00:00 AM,RTO,RTO,RTO,RTO,122640.534,False
2/1/2026 11:00:00 AM,2/1/2026 6:00:00 AM,RTO,RTO,RTO,RTO,125345.220,False
2/1/2026 12:00:00 PM,2/1/2026 7:00:00 AM,RTO,RTO,RTO,RTO,128220.093,False
2/1/2026 1:00:00 PM,2/1/2026 8:00:00 AM,RTO,RTO,RTO,RTO,129949.838,False
2/1/2026 2:00:00 PM,2/1/2026 9:00:00 AM,RTO,RTO,RTO,RTO,128848.376,False
2/1/2026 3:00:00 PM,2/1/2026 10:00:00 AM,RTO,RTO,RTO,RTO,126370.740,False
2/1/2026 4:00:00 PM,2/1/2026 11:00:00 AM,RTO,RTO,RTO,RTO,123772.778,False
2/1/2026 5:00:00 PM,2/1/2026 12:00:00 PM,RTO,RTO,RTO,RTO,121230.835,False
2/1/2026 6:00:00 PM,2/1/2026 1:00:00 PM,RTO,RTO,RTO,RTO,118626.724,False
2/1/2026 7:00:00 PM,2/1/2026 2:00:00 PM,RTO,RTO,RTO,RTO,116716.484,False
2/1/2026 8:00:00 PM,2/1/2026 3:00:00 PM,RTO,RTO,RTO,RTO,116225.631,False
2/1/2026 9:00:00 PM,2/1/2026 4:00:00 PM,RTO,RTO,RTO,RTO,118953.496,False
2/1/2026 10:00:00 PM,2/1/2026 5:00:00 PM,RTO,RTO,RTO,RTO,124674.978,False
2/1/2026 11:00:00 PM,2/1/2026 6:00:00 PM,RTO,RTO,RTO,RTO,129056.720,False
2/2/2026 12:00:00 AM,2/1/2026 7:00:00 PM,RTO,RTO,RTO,RTO,129525.599,False
2/2/2026 1:00:00 AM,2/1/2026 8:00:00 PM,RTO,RTO,RTO,RTO,128707.290,False
2/2/2026 2:00:00 AM,2/1/2026 9:00:00 PM,RTO,RTO,RTO,RTO,126527.142,False
2/2/2026 3:00:00 AM,2/1/2026 10:00:00 PM,RTO,RTO,RTO,RTO,123312.171,False
2/2/2026 4:00:00 AM,2/1/2026 11:00:00 PM,RTO,RTO,RTO,RTO,120352.946,False
2/2/2026 5:00:00 AM,2/2/2026 12:00:00 AM,RTO,RTO,RTO,RTO,118594.663,False
2/2/2026 6:00:00 AM,2/2/2026 1:00:00 AM,RTO,RTO,RTO,RTO,117921.683,False
2/2/2026 7:00:00 AM,2/2/2026 2:00:00 AM,RTO,RTO,RTO,RTO,117822.375,False
2/2/2026 8:00:00 AM,2/2/2026 3:00:00 AM,RTO,RTO,RTO,RTO,118566.357,False
2/2/2026 9:00:00 AM,2/2/2026 4:00:00 AM,RTO,RTO,RTO,RTO,120662.760,False
2/2/2026 10:00:00 AM,2/2/2026 5:00:00 AM,RTO,RTO,RTO,RTO,125124.348,False
2/2/2026 11:00:00 AM,2/2/2026 6:00:00 AM,RTO,RTO,RTO,RTO,131298.477,False
2/2/2026 12:00:00 PM,2/2/2026 7:00:00 AM,RTO,RTO,RTO,RTO,135424.081,False
2/2/2026 1:00:00 PM,2/2/2026 8:00:00 AM,RTO,RTO,RTO,RTO,133961.465,False
2/2/2026 2:00:00 PM,2/2/2026 9:00:00 AM,RTO,RTO,RTO,RTO,130250.453,False
2/2/2026 3:00:00 PM,2/2/2026 10:00:00 AM,RTO,RTO,RTO,RTO,126780.267,False
2/2/2026 4:00:00 PM,2/2/2026 11:00:00 AM,RTO,RTO,RTO,RTO,123808.936,False
2/2/2026 5:00:00 PM,2/2/2026 12:00:00 PM,RTO,RTO,RTO,RTO,121244.914,False
2/2/2026 6:00:00 PM,2/2/2026 1:00:00 PM,RTO,RTO,RTO,RTO,118835.691,False
2/2/2026 7:00:00 PM,2/2/2026 2:00:00 PM,RTO,RTO,RTO,RTO,116867.901,False
2/2/2026 8:00:00 PM,2/2/2026 3:00:00 PM,RTO,RTO,RTO,RTO,116402.116,False
2/2/2026 9:00:00 PM,2/2/2026 4:00:00 PM,RTO,RTO,RTO,RTO,118426.558,False
2/2/2026 10:00:00 PM,2/2/2026 5:00:00 PM,RTO,RTO,RTO,RTO,122991.151,False
2/2/2026 11:00:00 PM,2/2/2026 6:00:00 PM,RTO,RTO,RTO,RTO,125987.204,False
2/3/2026 12:00:00 AM,2/2/2026 7:00:00 PM,RTO,RTO,RTO,RTO,125793.419,False
2/3/2026 1:00:00 AM,2/2/2026 8:00:00 PM,RTO,RTO,RTO,RTO,124257.958,False
2/3/2026 2:00:00 AM,2/2/2026 9:00:00 PM,RTO,RTO,RTO,RTO,121554.285,False
2/3/2026 3:00:00 AM,2/2/2026 10:00:00 PM,RTO,RTO,RTO,RTO,117093.372,False
2/3/2026 4:00:00 AM,2/2/2026 11:00:00 PM,RTO,RTO,RTO,RTO,112838.040,False
2/3/2026 5:00:00 AM,2/3/2026 12:00:00 AM,RTO,RTO,RTO,RTO,109860.847,False
2/3/2026 6:00:00 AM,2/3/2026 1:00:00 AM,RTO,RTO,RTO,RTO,108335.455,False
2/3/2026 7:00:00 AM,2/3/2026 2:00:00 AM,RTO,RTO,RTO,RTO,107547.157,False
2/3/2026 8:00:00 AM,2/3/2026 3:00:00 AM,RTO,RTO,RTO,RTO,107723.414,False
2/3/2026 9:00:00 AM,2/3/2026 4:00:00 AM,RTO,RTO,RTO,RTO,109457.844,False
2/3/2026 10:00:00 AM,2/3/2026 5:00:00 AM,RTO,RTO,RTO,RTO,113732.928,False
2/3/2026 11:00:00 AM,2/3/2026 6:00:00 AM,RTO,RTO,RTO,RTO,120099.026,False
2/3/2026 12:00:00 PM,2/3/2026 7:00:00 AM,RTO,RTO,RTO,RTO,124028.588,False
2/3/2026 1:00:00 PM,2/3/2026 8:00:00 AM,RTO,RTO,RTO,RTO,123525.024,False
2/3/2026 2:00:00 PM,2/3/2026 9:00:00 AM,RTO,RTO,RTO,RTO,120502.288,False
2/3/2026 3:00:00 PM,2/3/2026 10:00:00 AM,RTO,RTO,RTO,RTO,117102.734,False
2/3/2026 4:00:00 PM,2/3/2026 11:00:00 AM,RTO,RTO,RTO,RTO,113655.422,False
2/3/2026 5:00:00 PM,2/3/2026 12:00:00 PM,RTO,RTO,RTO,RTO,111311.382,False
2/3/2026 6:00:00 PM,2/3/2026 1:00:00 PM,RTO,RTO,RTO,RTO,110176.708,False
2/3/2026 7:00:00 PM,2/3/2026 2:00:00 PM,RTO,RTO,RTO,RTO,109673.005,False
2/3/2026 8:00:00 PM,2/3/2026 3:00:00 PM,RTO,RTO,RTO,RTO,110516.277,False
2/3/2026 9:00:00 PM,2/3/2026 4:00:00 PM,RTO,RTO,RTO,RTO,112761.625,False
2/3/2026 10:00:00 PM,2/3/2026 5:00:00 PM,RTO,RTO,RTO,RTO,117145.435,False
2/3/2026 11:00:00 PM,2/3/2026 6:00:00 PM,RTO,RTO,RTO,RTO,120248.602,False
2/4/2026 12:00:00 AM,2/3/2026 7:00:00 PM,RTO,RTO,RTO,RTO,119976.594,False
2/4/2026 1:00:00 AM,2/3/2026 8:00:00 PM,RTO,RTO,RTO,RTO,118546.736,False
2/4/2026 2:00:00 AM,2/3/2026 9:00:00 PM,RTO,RTO,RTO,RTO,115672.998,False
2/4/2026 3:00:00 AM,2/3/2026 10:00:00 PM,RTO,RTO,RTO,RTO,111008.359,False
2/4/2026 4:00:00 AM,2/3/2026 11:00:00 PM,RTO,RTO,RTO,RTO,106942.909,False
2/4/2026 5:00:00 AM,2/4/2026 12:00:00 AM,RTO,RTO,RTO,RTO,103972.100,False
2/4/2026 6:00:00 AM,2/4/2026 1:00:00 AM,RTO,RTO,RTO,RTO,102285.564,False
2/4/2026 7:00:00 AM,2/4/2026 2:00:00 AM,RTO,RTO,RTO,RTO,101535.924,False
2/4/2026 8:00:00 AM,2/4/2026 3:00:00 AM,RTO,RTO,RTO,RTO,101789.958,False
2/4/2026 9:00:00 AM,2/4/2026 4:00:00 AM,RTO,RTO,RTO,RTO,103805.947,False
2/4/2026 10:00:00 AM,2/4/2026 5:00:00 AM,RTO,RTO,RTO,RTO,107899.227,False
2/4/2026 11:00:00 AM,2/4/2026 6:00:00 AM,RTO,RTO,RTO,RTO,114645.818,False
2/4/2026 12:00:00 PM,2/4/2026 7:00:00 AM,RTO,RTO,RTO,RTO,119125.288,False
2/4/2026 1:00:00 PM,2/4/2026 8:00:00 AM,RTO,RTO,RTO,RTO,119194.429,False
2/4/2026 2:00:00 PM,2/4/2026 9:00:00 AM,RTO,RTO,RTO,RTO,117025.412,False
2/4/2026 3:00:00 PM,2/4/2026 10:00:00 AM,RTO,RTO,RTO,RTO,114659.047,False
2/4/2026 4:00:00 PM,2/4/2026 11:00:00 AM,RTO,RTO,RTO,RTO,112524.753,False
2/4/2026 5:00:00 PM,2/4/2026 12:00:00 PM,RTO,RTO,RTO,RTO,110942.262,False
2/4/2026 6:00:00 PM,2/4/2026 1:00:00 PM,RTO,RTO,RTO,RTO,110259.155,False
2/4/2026 7:00:00 PM,2/4/2026 2:00:00 PM,RTO,RTO,RTO,RTO,109543.533,False
2/4/2026 8:00:00 PM,2/4/2026 3:00:00 PM,RTO,RTO,RTO,RTO,110525.247,False
2/4/2026 9:00:00 PM,2/4/2026 4:00:00 PM,RTO,RTO,RTO,RTO,113296.240,False
2/4/2026 10:00:00 PM,2/4/2026 5:00:00 PM,RTO,RTO,RTO,RTO,117975.782,False
2/4/2026 11:00:00 PM,2/4/2026 6:00:00 PM,RTO,RTO,RTO,RTO,121790.275,False
2/5/2026 12:00:00 AM,2/4/2026 7:00:00 PM,RTO,RTO,RTO,RTO,121921.227,False
2/5/2026 1:00:00 AM,2/4/2026 8:00:00 PM,RTO,RTO,RTO,RTO,121376.929,False
2/5/2026 2:00:00 AM,2/4/2026 9:00:00 PM,RTO,RTO,RTO,RTO,119039.311,False
2/5/2026 3:00:00 AM,2/4/2026 10:00:00 PM,RTO,RTO,RTO,RTO,115425.560,False
2/5/2026 4:00:00 AM,2/4/2026 11:00:00 PM,RTO,RTO,RTO,RTO,112203.041,False
2/5/2026 5:00:00 AM,2/5/2026 12:00:00 AM,RTO,RTO,RTO,RTO,110173.869,False
2/5/2026 6:00:00 AM,2/5/2026 1:00:00 AM,RTO,RTO,RTO,RTO,109478.019,False
2/5/2026 7:00:00 AM,2/5/2026 2:00:00 AM,RTO,RTO,RTO,RTO,109662.531,False
2/5/2026 8:00:00 AM,2/5/2026 3:00:00 AM,RTO,RTO,RTO,RTO,110668.103,False
2/5/2026 9:00:00 AM,2/5/2026 4:00:00 AM,RTO,RTO,RTO,RTO,113308.369,False
2/5/2026 10:00:00 AM,2/5/2026 5:00:00 AM,RTO,RTO,RTO,RTO,118497.911,False
2/5/2026 11:00:00 AM,2/5/2026 6:00:00 AM,RTO,RTO,RTO,RTO,126061.955,False
2/5/2026 12:00:00 PM,2/5/2026 7:00:00 AM,RTO,RTO,RTO,RTO,130754.130,False
2/5/2026 1:00:00 PM,2/5/2026 8:00:00 AM,RTO,RTO,RTO,RTO,129378.065,False
2/5/2026 2:00:00 PM,2/5/2026 9:00:00 AM,RTO,RTO,RTO,RTO,125268.100,False
2/5/2026 3:00:00 PM,2/5/2026 10:00:00 AM,RTO,RTO,RTO,RTO,121104.389,False
2/5/2026 4:00:00 PM,2/5/2026 11:00:00 AM,RTO,RTO,RTO,RTO,117708.193,False
2/5/2026 5:00:00 PM,2/5/2026 12:00:00 PM,RTO,RTO,RTO,RTO,115116.522,False
2/5/2026 6:00:00 PM,2/5/2026 1:00:00 PM,RTO,RTO,RTO,RTO,113603.393,False
2/5/2026 7:00:00 PM,2/5/2026 2:00:00 PM,RTO,RTO,RTO,RTO,112439.431,False
