evaluated_at_datetime_utc,evaluated_at_datetime_ept,forecast_datetime_beginning_utc,forecast_datetime_beginning_ept,forecast_datetime_ending_utc,forecast_datetime_ending_ept,forecast_area,forecast_load_mw
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/21/2026 5:00:00 AM,2/21/2026 12:00:00 AM,2/21/2026 6:00:00 AM,2/21/2026 1:00:00 AM,RTO_COMBINED,88119
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/21/2026 6:00:00 AM,2/21/2026 1:00:00 AM,2/21/2026 7:00:00 AM,2/21/2026 2:00:00 AM,RTO_COMBINED,86441
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/21/2026 7:00:00 AM,2/21/2026 2:00:00 AM,2/21/2026 8:00:00 AM,2/21/2026 3:00:00 AM,RTO_COMBINED,85556
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/21/2026 8:00:00 AM,2/21/2026 3:00:00 AM,2/21/2026 9:00:00 AM,2/21/2026 4:00:00 AM,RTO_COMBINED,85276
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/21/2026 9:00:00 AM,2/21/2026 4:00:00 AM,2/21/2026 10:00:00 AM,2/21/2026 5:00:00 AM,RTO_COMBINED,86200
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/21/2026 10:00:00 AM,2/21/2026 5:00:00 AM,2/21/2026 11:00:00 AM,2/21/2026 6:00:00 AM,RTO_COMBINED,88152
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/21/2026 11:00:00 AM,2/21/2026 6:00:00 AM,2/21/2026 12:00:00 PM,2/21/2026 7:00:00 AM,RTO_COMBINED,91012
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/21/2026 12:00:00 PM,2/21/2026 7:00:00 AM,2/21/2026 1:00:00 PM,2/21/2026 8:00:00 AM,RTO_COMBINED,93815
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/21/2026 1:00:00 PM,2/21/2026 8:00:00 AM,2/21/2026 2:00:00 PM,2/21/2026 9:00:00 AM,RTO_COMBINED,94989
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/21/2026 2:00:00 PM,2/21/2026 9:00:00 AM,2/21/2026 3:00:00 PM,2/21/2026 10:00:00 AM,RTO_COMBINED,94776
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/21/2026 3:00:00 PM,2/21/2026 10:00:00 AM,2/21/2026 4:00:00 PM,2/21/2026 11:00:00 AM,RTO_COMBINED,93564
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/21/2026 4:00:00 PM,2/21/2026 11:00:00 AM,2/21/2026 5:00:00 PM,2/21/2026 12:00:00 PM,RTO_COMBINED,92457
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/21/2026 5:00:00 PM,2/21/2026 12:00:00 PM,2/21/2026 6:00:00 PM,2/21/2026 1:00:00 PM,RTO_COMBINED,90428
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/21/2026 6:00:00 PM,2/21/2026 1:00:00 PM,2/21/2026 7:00:00 PM,2/21/2026 2:00:00 PM,RTO_COMBINED,88616
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/21/2026 7:00:00 PM,2/21/2026 2:00:00 PM,2/21/2026 8:00:00 PM,2/21/2026 3:00:00 PM,RTO_COMBINED,87438
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/21/2026 8:00:00 PM,2/21/2026 3:00:00 PM,2/21/2026 9:00:00 PM,2/21/2026 4:00:00 PM,RTO_COMBINED,87740
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/21/2026 9:00:00 PM,2/21/2026 4:00:00 PM,2/21/2026 10:00:00 PM,2/21/2026 5:00:00 PM,RTO_COMBINED,90214
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/21/2026 10:00:00 PM,2/21/2026 5:00:00 PM,2/21/2026 11:00:00 PM,2/21/2026 6:00:00 PM,RTO_COMBINED,94006
