datetime_beginning_utc,zone,charge_category,charge_reason,region,uplift_charges,rundate_ept
1/31/2026 12:00:00 AM,AEP,Balancing Operating Reserve,Deviations,RTO,21346.44,2/10/2026 8:01:40 AM
1/31/2026 12:00:00 AM,AEP,Balancing Operating Reserve: Lost Opportunity Cost,Deviations,RTO,533702.46,2/10/2026 8:01:40 AM
1/31/2026 12:00:00 AM,AEP,Balancing Operating Reserve,Deviations,West,54108.17,2/10/2026 8:01:40 AM
1/30/2026 12:00:00 AM,AEP,Balancing Operating Reserve: Lost Opportunity Cost,Deviations,RTO,45158.22,2/10/2026 8:01:40 AM
1/30/2026 12:00:00 AM,AEP,Balancing Operating Reserve,Deviations,RTO,16771.63,2/10/2026 8:01:40 AM
1/30/2026 12:00:00 AM,AEP,Balancing Operating Reserve,Deviations,West,4511.58,2/10/2026 8:01:40 AM
1/29/2026 12:00:00 AM,AEP,Balancing Operating Reserve: Lost Opportunity Cost,Deviations,RTO,11148.65,2/10/2026 8:01:40 AM
1/28/2026 12:00:00 AM,AEP,Balancing Operating Reserve: Lost Opportunity Cost,Deviations,RTO,18798.24,2/10/2026 8:01:40 AM
1/27/2026 12:00:00 AM,AEP,Balancing Operating Reserve: Lost Opportunity Cost,Deviations,RTO,4461790.90,2/10/2026 8:01:40 AM
1/26/2026 12:00:00 AM,AEP,Balancing Operating Reserve: Lost Opportunity Cost,Deviations,RTO,2818623.93,2/10/2026 8:01:40 AM
1/25/2026 12:00:00 AM,AEP,Balancing Operating Reserve: Lost Opportunity Cost,Deviations,RTO,5626494.25,2/10/2026 8:01:40 AM
1/24/2026 12:00:00 AM,AEP,Balancing Operating Reserve: Lost Opportunity Cost,Deviations,RTO,55133.60,2/10/2026 8:01:40 AM
1/24/2026 12:00:00 AM,AEP,Balancing Operating Reserve,Deviations,RTO,283811.48,2/10/2026 8:01:40 AM
1/23/2026 12:00:00 AM,AEP,Balancing Operating Reserve,Deviations,RTO,74720.06,2/10/2026 8:01:40 AM
1/23/2026 12:00:00 AM,AEP,Balancing Operating Reserve: Lost Opportunity Cost,Deviations,RTO,814.14,2/10/2026 8:01:40 AM
1/22/2026 12:00:00 AM,AEP,Balancing Operating Reserve,Deviations,RTO,3.35,2/10/2026 8:01:40 AM
1/21/2026 12:00:00 AM,AEP,Balancing Operating Reserve: Lost Opportunity Cost,Deviations,RTO,34883.68,2/10/2026 8:01:40 AM
1/20/2026 12:00:00 AM,AEP,Balancing Operating Reserve,Deviations,RTO,25042.15,2/10/2026 8:01:40 AM
1/20/2026 12:00:00 AM,AEP,Balancing Operating Reserve: Lost Opportunity Cost,Deviations,RTO,30747.89,2/10/2026 8:01:40 AM
1/19/2026 12:00:00 AM,AEP,Balancing Operating Reserve,Deviations,RTO,1298.82,2/10/2026 8:01:40 AM
1/19/2026 12:00:00 AM,AEP,Balancing Operating Reserve: Lost Opportunity Cost,Deviations,RTO,56.03,2/10/2026 8:01:40 AM
1/17/2026 12:00:00 AM,AEP,Balancing Operating Reserve,Deviations,RTO,136.16,2/10/2026 8:01:40 AM
1/16/2026 12:00:00 AM,AEP,Balancing Operating Reserve,Deviations,RTO,4189.00,2/10/2026 8:01:40 AM
1/15/2026 12:00:00 AM,AEP,Balancing Operating Reserve: Lost Opportunity Cost,Deviations,RTO,21365.06,2/10/2026 8:01:40 AM
1/14/2026 12:00:00 AM,AEP,Balancing Operating Reserve: Lost Opportunity Cost,Deviations,RTO,56.38,2/10/2026 8:01:40 AM
1/14/2026 12:00:00 AM,AEP,Balancing Operating Reserve,Deviations,West,15899.52,2/10/2026 8:01:40 AM
1/13/2026 12:00:00 AM,AEP,Balancing Operating Reserve,Deviations,RTO,56241.95,2/10/2026 8:01:40 AM
1/13/2026 12:00:00 AM,AEP,Balancing Operating Reserve: Lost Opportunity Cost,Deviations,RTO,664.86,2/10/2026 8:01:40 AM
1/12/2026 12:00:00 AM,AEP,Balancing Operating Reserve: Lost Opportunity Cost,Deviations,RTO,3677.26,2/10/2026 8:01:40 AM
1/12/2026 12:00:00 AM,AEP,Balancing Operating Reserve,Deviations,RTO,98867.51,2/10/2026 8:01:40 AM
1/9/2026 12:00:00 AM,AEP,Balancing Operating Reserve: Lost Opportunity Cost,Deviations,RTO,513.92,2/10/2026 8:01:40 AM
1/4/2026 12:00:00 AM,AEP,Balancing Operating Reserve: Lost Opportunity Cost,Deviations,RTO,43.72,2/10/2026 8:01:40 AM
1/4/2026 12:00:00 AM,AEP,Balancing Operating Reserve,Deviations,RTO,40921.22,2/10/2026 8:01:40 AM
1/3/2026 12:00:00 AM,AEP,Balancing Operating Reserve,Deviations,RTO,295445.46,2/10/2026 8:01:40 AM
1/2/2026 12:00:00 AM,AEP,Balancing Operating Reserve,Deviations,RTO,148519.81,2/10/2026 8:01:40 AM
